country,coverage,measure,year,month,flights
FRA,TOTAL,CAF_PAS,2022,M01,53575
HRV,TOTAL,CAF_PAS,2022,M01,2601
HUN,TOTAL,CAF_PAS,2022,M01,4899
IRL,TOTAL,CAF_PAS,2022,M01,11104
ISL,TOTAL,CAF_PAS,2022,M01,2369
ITA,TOTAL,CAF_PAS,2022,M01,51537
LTU,TOTAL,CAF_PAS,2022,M01,2742
LUX,TOTAL,CAF_PAS,2022,M01,2273
LVA,TOTAL,CAF_PAS,2022,M01,3169
MNE,TOTAL,CAF_PAS,2022,M01,
MKD,TOTAL,CAF_PAS,2022,M01,910
MLT,TOTAL,CAF_PAS,2022,M01,1761
NLD,TOTAL,CAF_PAS,2022,M01,27133
NOR,TOTAL,CAF_PAS,2022,M01,21630
POL,TOTAL,CAF_PAS,2022,M01,17154
PRT,TOTAL,CAF_PAS,2022,M01,19588
ROU,TOTAL,CAF_PAS,2022,M01,
RS,TOTAL,CAF_PAS,2022,M01,
SWE,TOTAL,CAF_PAS,2022,M01,4372
SVN,TOTAL,CAF_PAS,2022,M01,598
SVK,TOTAL,CAF_PAS,2022,M01,1205
TUR,TOTAL,CAF_PAS,2022,M01,
GBR,TOTAL,CAF_PAS,2022,M01,
AUT,INTL,CAF_PAS,2021,M12,12438
BEL,INTL,CAF_PAS,2021,M12,13471
BGR,INTL,CAF_PAS,2021,M12,3278
CHE,INTL,CAF_PAS,2021,M12,21744
CYP,INTL,CAF_PAS,2021,M12,3219
CZE,INTL,CAF_PAS,2021,M12,5548
DEU,INTL,CAF_PAS,2021,M12,68612
DNK,INTL,CAF_PAS,2021,M12,13298
EST,INTL,CAF_PAS,2021,M12,1948
GRC,INTL,CAF_PAS,2021,M12,9059
ESP,INTL,CAF_PAS,2021,M12,59851
FIN,INTL,CAF_PAS,2021,M12,8679
FRA,INTL,CAF_PAS,2021,M12,47477
HRV,INTL,CAF_PAS,2021,M12,2318
HUN,INTL,CAF_PAS,2021,M12,5931
IRL,INTL,CAF_PAS,2021,M12,13696
ISL,INTL,CAF_PAS,2021,M12,2074
ITA,INTL,CAF_PAS,2021,M12,44889
LTU,INTL,CAF_PAS,2021,M12,3239
LUX,INTL,CAF_PAS,2021,M12,3228
LVA,INTL,CAF_PAS,2021,M12,3746
MNE,INTL,CAF_PAS,2021,M12,818
MKD,INTL,CAF_PAS,2021,M12,1053
MLT,INTL,CAF_PAS,2021,M12,2821
NLD,INTL,CAF_PAS,2021,M12,31206
NOR,INTL,CAF_PAS,2021,M12,9423
POL,INTL,CAF_PAS,2021,M12,19724
PRT,INTL,CAF_PAS,2021,M12,19679
ROU,INTL,CAF_PAS,2021,M12,8823
RS,INTL,CAF_PAS,2021,M12,
SWE,INTL,CAF_PAS,2021,M12,11351
SVN,INTL,CAF_PAS,2021,M12,639
SVK,INTL,CAF_PAS,2021,M12,1420
