country,coverage,year,passengers
ESP,"NAT",2017,36161816
FIN,"NAT",2017,2829271
FRA,"NAT",2017,30556368
HRV,"NAT",2017,569273
HUN,"NAT",2017,36
IRL,"NAT",2017,88974
ISL,"NAT",2017,5246
ITA,"NAT",2017,31215024
LTU,"NAT",2017,247
LUX,"NAT",2017,1099
LVA,"NAT",2017,6349
MNE,"NAT",2017,117
MKD,"NAT",2017,0
MLT,"NAT",2017,7
NLD,"NAT",2017,10545
NOR,"NAT",2017,16180313
POL,"NAT",2017,2221966
PRT,"NAT",2017,4821555
ROU,"NAT",2017,1413846
RS,"NAT",2017,51
SWE,"NAT",2017,7971371
SVN,"NAT",2017,0
SVK,"NAT",2017,32134
TUR,"NAT",2017,55060481
GBR,"NAT",2017,23479804
AUT,TOTAL,2017,28551316
BEL,TOTAL,2017,33277829
BGR,TOTAL,2017,11142601
CHE,TOTAL,2017,53618686
CYP,TOTAL,2017,10435377
CZE,TOTAL,2017,16326504
DEU,TOTAL,2017,213072515
DNK,TOTAL,2017,33332139
EST,TOTAL,2017,2636856
GRC,TOTAL,2017,50169361
ESP,TOTAL,2017,210158445
FIN,TOTAL,2017,20118115
FRA,TOTAL,2017,154971726
HRV,TOTAL,2017,8881622
HUN,TOTAL,2017,13379836
IRL,TOTAL,2017,34385827
ISL,TOTAL,2017,8322643
ITA,TOTAL,2017,144895467
LTU,TOTAL,2017,5250493
LUX,TOTAL,2017,3554730
LVA,TOTAL,2017,6097481
MNE,TOTAL,2017,2173494
MKD,TOTAL,2017,1861282
MLT,TOTAL,2017,6007717
NLD,TOTAL,2017,76608203
NOR,TOTAL,2017,39347467
POL,TOTAL,2017,37732884
PRT,TOTAL,2017,47431032
ROU,TOTAL,2017,18008415
RS,TOTAL,2017,4828171
SWE,TOTAL,2017,38628364
SVN,TOTAL,2017,1682705
SVK,TOTAL,2017,2434001
TUR,TOTAL,2017,139171843
GBR,TOTAL,2017,264867264
AUT,INTL,2016,26860130
BEL,INTL,2016,30194517
BGR,INTL,2016,9200728
CHE,INTL,2016,49819683
CYP,INTL,2016,9097037
CZE,INTL,2016,13727054
DEU,INTL,2016,177485616
DNK,INTL,2016,30839673
EST,INTL,2016,2198430
GRC,INTL,2016,37367190
ESP,INTL,2016,160799695
FIN,INTL,2016,15401714
FRA,INTL,2016,116669831
HRV,INTL,2016,6971351
HUN,INTL,2016,11694310
IRL,INTL,2016,32602662
ISL,INTL,2016,6815439
ITA,INTL,2016,104861128
LTU,INTL,2016,4793082
LUX,INTL,2016,2983570
LVA,INTL,2016,5410160
MNE,INTL,2016,1845394
MKD,INTL,2016,1649374
MLT,INTL,2016,5080100
NLD,INTL,2016,70609496
NOR,INTL,2016,22566742
POL,INTL,2016,30474443
PRT,INTL,2016,36342474
ROU,INTL,2016,14291502
RS,INTL,2016,4414849
SWE,INTL,2016,28317213
SVN,INTL,2016,1405510
SVK,INTL,2016,2170173
TUR,INTL,2016,71453397
GBR,INTL,2016,225937301
AUT,"NAT",2016,522133
BEL,"NAT",2016,12618
BGR,"NAT",2016,176591
CHE,"NAT",2016,746804
CYP,"NAT",2016,4074
CZE,"NAT",2016,103073
DEU,"NAT",2016,23969317
DNK,"NAT",2016,2029803
EST,"NAT",2016,17361
GRC,"NAT",2016,8174331
ESP,"NAT",2016,33429249
FIN,"NAT",2016,2695394
FRA,"NAT",2016,29433125
HRV,"NAT",2016,539131
HUN,"NAT",2016,195
IRL,"NAT",2016,86745
ISL,"NAT",2016,0
ITA,"NAT",2016,30285009
LTU,"NAT",2016,459
LUX,"NAT",2016,672
LVA,"NAT",2016,974
MNE,"NAT",2016,70
MKD,"NAT",2016,0
MLT,"NAT",2016,346
NLD,"NAT",2016,13343
NOR,"NAT",2016,15772771
POL,"NAT",2016,1867206
PRT,"NAT",2016,4261902
ROU,"NAT",2016,923919
RS,"NAT",2016,14
SWE,"NAT",2016,7759597
SVN,"NAT",2016,0
SVK,"NAT",2016,31807
TUR,"NAT",2016,51583705
GBR,"NAT",2016,23138911
AUT,TOTAL,2016,27382263
BEL,TOTAL,2016,30207135
BGR,TOTAL,2016,9377319
CHE,TOTAL,2016,50566487
CYP,TOTAL,2016,9101111
CZE,TOTAL,2016,13830127
DEU,TOTAL,2016,201454933
DNK,TOTAL,2016,32869476
EST,TOTAL,2016,2215791
GRC,TOTAL,2016,45541521
ESP,TOTAL,2016,194228944
FIN,TOTAL,2016,18097108
FRA,TOTAL,2016,146102956
HRV,TOTAL,2016,7510482
HUN,TOTAL,2016,11694505
IRL,TOTAL,2016,32689407
ISL,TOTAL,2016,6815439
ITA,TOTAL,2016,135146137
LTU,TOTAL,2016,4793541
LUX,TOTAL,2016,2984242
LVA,TOTAL,2016,5411134
MNE,TOTAL,2016,1845464
MKD,TOTAL,2016,1649374
MLT,TOTAL,2016,5080446
NLD,TOTAL,2016,70622839
