country,coverage,year,quarter,passengers
CYP,"NAT",2021,Q1,0
CZE,"NAT",2021,Q1,4074
DEU,"NAT",2021,Q1,435594
DNK,"NAT",2021,Q1,108277
EST,"NAT",2021,Q1,5040
GRC,"NAT",2021,Q1,403495
ESP,"NAT",2021,Q1,2395466
FIN,"NAT",2021,Q1,147539
FRA,"NAT",2021,Q1,2623962
HRV,"NAT",2021,Q1,27350
HUN,"NAT",2021,Q1,176
IRL,"NAT",2021,Q1,3328
ISL,"NAT",2021,Q1,49375
ITA,"NAT",2021,Q1,1454141
LTU,"NAT",2021,Q1,9
LUX,"NAT",2021,Q1,36
LVA,"NAT",2021,Q1,0
MNE,"NAT",2021,Q1,0
MKD,"NAT",2021,Q1,0
MLT,"NAT",2021,Q1,0
NLD,"NAT",2021,Q1,17
NOR,"NAT",2021,Q1,1166635
POL,"NAT",2021,Q1,75291
PRT,"NAT",2021,Q1,234713
ROU,"NAT",2021,Q1,95222
RS,"NAT",2021,Q1,36
SWE,"NAT",2021,Q1,226494
SVN,"NAT",2021,Q1,0
SVK,"NAT",2021,Q1,125
TUR,"NAT",2021,Q1,5848941
GBR,"NAT",2021,Q1,
AUT,TOTAL,2021,Q1,590114
BEL,TOTAL,2021,Q1,771429
BGR,TOTAL,2021,Q1,515044
CHE,TOTAL,2021,Q1,1104156
CYP,TOTAL,2021,Q1,116682
CZE,TOTAL,2021,Q1,260341
DEU,TOTAL,2021,Q1,4684830
DNK,TOTAL,2021,Q1,479622
EST,TOTAL,2021,Q1,84838
GRC,TOTAL,2021,Q1,834276
ESP,TOTAL,2021,Q1,5608254
FIN,TOTAL,2021,Q1,382879
FRA,TOTAL,2021,Q1,6365319
HRV,TOTAL,2021,Q1,121357
HUN,TOTAL,2021,Q1,182294
IRL,TOTAL,2021,Q1,417238
ISL,TOTAL,2021,Q1,98835
ITA,TOTAL,2021,Q1,3168426
LTU,TOTAL,2021,Q1,148755
LUX,TOTAL,2021,Q1,140559
LVA,TOTAL,2021,Q1,103236
MNE,TOTAL,2021,Q1,65642
MKD,TOTAL,2021,Q1,148420
MLT,TOTAL,2021,Q1,100646
NLD,TOTAL,2021,Q1,2107787
NOR,TOTAL,2021,Q1,1427979
POL,TOTAL,2021,Q1,987137
PRT,TOTAL,2021,Q1,1200535
ROU,TOTAL,2021,Q1,829232
RS,TOTAL,2021,Q1,288869
SWE,TOTAL,2021,Q1,833179
SVN,TOTAL,2021,Q1,18364
SVK,TOTAL,2021,Q1,21312
TUR,TOTAL,2021,Q1,11852524
GBR,TOTAL,2021,Q1,
AUT,INTL,2020,Q4,813397
BEL,INTL,2020,Q4,1268724
BGR,INTL,2020,Q4,545684
CHE,INTL,2020,Q4,1858412
CYP,INTL,2020,Q4,370361
CZE,INTL,2020,Q4,289919
DEU,INTL,2020,Q4,6437244
DNK,INTL,2020,Q4,792021
EST,INTL,2020,Q4,83972
GRC,INTL,2020,Q4,2174197
ESP,INTL,2020,Q4,4359867
FIN,INTL,2020,Q4,295656
FRA,INTL,2020,Q4,4765451
HRV,INTL,2020,Q4,155691
HUN,INTL,2020,Q4,180270
IRL,INTL,2020,Q4,751194
ISL,INTL,2020,Q4,54017
ITA,INTL,2020,Q4,2871982
LTU,INTL,2020,Q4,172587
LUX,INTL,2020,Q4,234569
LVA,INTL,2020,Q4,195141
MNE,INTL,2020,Q4,80561
MKD,INTL,2020,Q4,144414
MLT,INTL,2020,Q4,197845
NLD,INTL,2020,Q4,3576213
NOR,INTL,2020,Q4,414081
POL,INTL,2020,Q4,1561424
PRT,INTL,2020,Q4,2345144
ROU,INTL,2020,Q4,878440
RS,INTL,2020,Q4,316010
SWE,INTL,2020,Q4,1037928
SVN,INTL,2020,Q4,20451
SVK,INTL,2020,Q4,34969
TUR,INTL,2020,Q4,7645370
GBR,INTL,2020,Q4,
AUT,"NAT",2020,Q4,16479
BEL,"NAT",2020,Q4,695
BGR,"NAT",2020,Q4,24062
CHE,"NAT",2020,Q4,22860
CYP,"NAT",2020,Q4,0
CZE,"NAT",2020,Q4,4384
DEU,"NAT",2020,Q4,710661
DNK,"NAT",2020,Q4,174345
EST,"NAT",2020,Q4,6219
GRC,"NAT",2020,Q4,569258
ESP,"NAT",2020,Q4,3302066
FIN,"NAT",2020,Q4,145704
FRA,"NAT",2020,Q4,2985478
HRV,"NAT",2020,Q4,31976
HUN,"NAT",2020,Q4,561
IRL,"NAT",2020,Q4,5345
ISL,"NAT",2020,Q4,28100
ITA,"NAT",2020,Q4,2319662
LTU,"NAT",2020,Q4,2
LUX,"NAT",2020,Q4,231
LVA,"NAT",2020,Q4,78
MNE,"NAT",2020,Q4,0
MKD,"NAT",2020,Q4,0
MLT,"NAT",2020,Q4,0
NLD,"NAT",2020,Q4,154
NOR,"NAT",2020,Q4,1709886
POL,"NAT",2020,Q4,119021
PRT,"NAT",2020,Q4,372714
ROU,"NAT",2020,Q4,92113
RS,"NAT",2020,Q4,34
SWE,"NAT",2020,Q4,343065
SVN,"NAT",2020,Q4,0
SVK,"NAT",2020,Q4,155
TUR,"NAT",2020,Q4,6135650
GBR,"NAT",2020,Q4,
AUT,TOTAL,2020,Q4,829876
BEL,TOTAL,2020,Q4,1269419
BGR,TOTAL,2020,Q4,569746
CHE,TOTAL,2020,Q4,1881272
CYP,TOTAL,2020,Q4,370361
CZE,TOTAL,2020,Q4,294303
DEU,TOTAL,2020,Q4,7147905
DNK,TOTAL,2020,Q4,966366
EST,TOTAL,2020,Q4,90191
GRC,TOTAL,2020,Q4,2743455
ESP,TOTAL,2020,Q4,7661933
FIN,TOTAL,2020,Q4,441360
FRA,TOTAL,2020,Q4,7750929
HRV,TOTAL,2020,Q4,187667
HUN,TOTAL,2020,Q4,180831
IRL,TOTAL,2020,Q4,756539
ISL,TOTAL,2020,Q4,82117
ITA,TOTAL,2020,Q4,5191644
LTU,TOTAL,2020,Q4,172589
LUX,TOTAL,2020,Q4,234800
LVA,TOTAL,2020,Q4,195219
MNE,TOTAL,2020,Q4,80561
MKD,TOTAL,2020,Q4,144414
MLT,TOTAL,2020,Q4,197845
NLD,TOTAL,2020,Q4,3576367
