country,measure,year,flights
LVA,CAF_PAS_ARR,2018,38816
MNE,CAF_PAS_ARR,2018,11354
MKD,CAF_PAS_ARR,2018,8453
MLT,CAF_PAS_ARR,2018,23916
NLD,CAF_PAS_ARR,2018,274366
NOR,CAF_PAS_ARR,2018,310628
POL,CAF_PAS_ARR,2018,189342
PRT,CAF_PAS_ARR,2018,218310
ROU,CAF_PAS_ARR,2018,87762
RS,CAF_PAS_ARR,2018,30221
SWE,CAF_PAS_ARR,2018,228787
SVN,CAF_PAS_ARR,2018,12247
SVK,CAF_PAS_ARR,2018,23239
TUR,CAF_PAS_ARR,2018,660559
GBR,CAF_PAS_ARR,2018,1097978
AUT,CAF_PAS_DEP,2018,143766
BEL,CAF_PAS_DEP,2018,142519
BGR,CAF_PAS_DEP,2018,44902
CHE,CAF_PAS_DEP,2018,228851
CYP,CAF_PAS_DEP,2018,37831
CZE,CAF_PAS_DEP,2018,74412
DEU,CAF_PAS_DEP,2018,989501
DNK,CAF_PAS_DEP,2018,168097
EST,CAF_PAS_DEP,2018,19926
GRC,CAF_PAS_DEP,2018,255638
ESP,CAF_PAS_DEP,2018,940648
FIN,CAF_PAS_DEP,2018,120361
FRA,CAF_PAS_DEP,2018,759290
HRV,CAF_PAS_DEP,2018,47779
HUN,CAF_PAS_DEP,2018,52458
IRL,CAF_PAS_DEP,2018,130287
ISL,CAF_PAS_DEP,2018,39823
ITA,CAF_PAS_DEP,2018,686166
LTU,CAF_PAS_DEP,2018,26285
LUX,CAF_PAS_DEP,2018,28363
LVA,CAF_PAS_DEP,2018,38856
MNE,CAF_PAS_DEP,2018,11363
MKD,CAF_PAS_DEP,2018,8415
MLT,CAF_PAS_DEP,2018,23921
NLD,CAF_PAS_DEP,2018,274703
NOR,CAF_PAS_DEP,2018,310380
POL,CAF_PAS_DEP,2018,192979
PRT,CAF_PAS_DEP,2018,216699
ROU,CAF_PAS_DEP,2018,87681
RS,CAF_PAS_DEP,2018,30047
SWE,CAF_PAS_DEP,2018,228782
SVN,CAF_PAS_DEP,2018,12280
SVK,CAF_PAS_DEP,2018,12126
TUR,CAF_PAS_DEP,2018,661368
GBR,CAF_PAS_DEP,2018,1098533
AUT,CAF_PAS,2017,260663
BEL,CAF_PAS,2017,280026
BGR,CAF_PAS,2017,80081
CHE,CAF_PAS,2017,442598
CYP,CAF_PAS,2017,71832
CZE,CAF_PAS,2017,140416
DEU,CAF_PAS,2017,1679778
DNK,CAF_PAS,2017,298951
EST,CAF_PAS,2017,36791
GRC,CAF_PAS,2017,384560
ESP,CAF_PAS,2017,1437425
FIN,CAF_PAS,2017,183213
FRA,CAF_PAS,2017,1238929
HRV,CAF_PAS,2017,80875
HUN,CAF_PAS,2017,92968
IRL,CAF_PAS,2017,247013
ISL,CAF_PAS,2017,50430
ITA,CAF_PAS,2017,1079913
LTU,CAF_PAS,2017,47388
LUX,CAF_PAS,2017,50706
LVA,CAF_PAS,2017,68720
MNE,CAF_PAS,2017,20959
MKD,CAF_PAS,2017,15494
MLT,CAF_PAS,2017,41475
NLD,CAF_PAS,2017,539767
NOR,CAF_PAS,2017,425122
POL,CAF_PAS,2017,314509
PRT,CAF_PAS,2017,355858
ROU,CAF_PAS,2017,150654
RS,CAF_PAS,2017,56217
SWE,CAF_PAS,2017,363100
SVN,CAF_PAS,2017,23636
SVK,CAF_PAS,2017,21171
TUR,CAF_PAS,2017,899429
GBR,CAF_PAS,2017,1942365
AUT,CAF_PAS_ARR,2017,135740
BEL,CAF_PAS_ARR,2017,140192
BGR,CAF_PAS_ARR,2017,41471
CHE,CAF_PAS_ARR,2017,226795
CYP,CAF_PAS_ARR,2017,35864
CZE,CAF_PAS_ARR,2017,70247
DEU,CAF_PAS_ARR,2017,954898
DNK,CAF_PAS_ARR,2017,163893
EST,CAF_PAS_ARR,2017,18384
GRC,CAF_PAS_ARR,2017,237488
ESP,CAF_PAS_ARR,2017,880480
FIN,CAF_PAS_ARR,2017,111865
FRA,CAF_PAS_ARR,2017,754072
HRV,CAF_PAS_ARR,2017,44156
HUN,CAF_PAS_ARR,2017,46495
IRL,CAF_PAS_ARR,2017,124227
ISL,CAF_PAS_ARR,2017,25210
ITA,CAF_PAS_ARR,2017,661444
LTU,CAF_PAS_ARR,2017,23709
LUX,CAF_PAS_ARR,2017,24339
LVA,CAF_PAS_ARR,2017,34346
MNE,CAF_PAS_ARR,2017,10486
MKD,CAF_PAS_ARR,2017,7725
MLT,CAF_PAS_ARR,2017,20846
NLD,CAF_PAS_ARR,2017,269838
NOR,CAF_PAS_ARR,2017,312470
POL,CAF_PAS_ARR,2017,171860
PRT,CAF_PAS_ARR,2017,203154
ROU,CAF_PAS_ARR,2017,82474
RS,CAF_PAS_ARR,2017,28151
SWE,CAF_PAS_ARR,2017,228730
SVN,CAF_PAS_ARR,2017,11811
SVK,CAF_PAS_ARR,2017,10953
TUR,CAF_PAS_ARR,2017,627540
GBR,CAF_PAS_ARR,2017,1094037
AUT,CAF_PAS_DEP,2017,135709
BEL,CAF_PAS_DEP,2017,140295
BGR,CAF_PAS_DEP,2017,41493
CHE,CAF_PAS_DEP,2017,226664
CYP,CAF_PAS_DEP,2017,35972
CZE,CAF_PAS_DEP,2017,70169
DEU,CAF_PAS_DEP,2017,953186
DNK,CAF_PAS_DEP,2017,164312
EST,CAF_PAS_DEP,2017,18407
GRC,CAF_PAS_DEP,2017,237821
ESP,CAF_PAS_DEP,2017,881405
FIN,CAF_PAS_DEP,2017,111868
FRA,CAF_PAS_DEP,2017,754406
HRV,CAF_PAS_DEP,2017,44250
HUN,CAF_PAS_DEP,2017,46473
IRL,CAF_PAS_DEP,2017,124238
ISL,CAF_PAS_DEP,2017,25221
ITA,CAF_PAS_DEP,2017,660372
LTU,CAF_PAS_DEP,2017,23683
LUX,CAF_PAS_DEP,2017,26367
LVA,CAF_PAS_DEP,2017,34405
MNE,CAF_PAS_DEP,2017,10473
MKD,CAF_PAS_DEP,2017,7769
MLT,CAF_PAS_DEP,2017,20858
NLD,CAF_PAS_DEP,2017,269993
NOR,CAF_PAS_DEP,2017,312173
POL,CAF_PAS_DEP,2017,171802
PRT,CAF_PAS_DEP,2017,201973
ROU,CAF_PAS_DEP,2017,82552
RS,CAF_PAS_DEP,2017,28066
SWE,CAF_PAS_DEP,2017,228733
SVN,CAF_PAS_DEP,2017,11825
SVK,CAF_PAS_DEP,2017,11062
TUR,CAF_PAS_DEP,2017,628639
GBR,CAF_PAS_DEP,2017,1093994
AUT,CAF_PAS,2016,260670
BEL,CAF_PAS,2016,275513
BGR,CAF_PAS,2016,72967
CHE,CAF_PAS,2016,442019
CYP,CAF_PAS,2016,64048
CZE,CAF_PAS,2016,134281
DEU,CAF_PAS,2016,1645784
DNK,CAF_PAS,2016,308483
EST,CAF_PAS,2016,32165
GRC,CAF_PAS,2016,363967
ESP,CAF_PAS,2016,1354107
FIN,CAF_PAS,2016,171925
FRA,CAF_PAS,2016,1220247
HRV,CAF_PAS,2016,73089
HUN,CAF_PAS,2016,86292
IRL,CAF_PAS,2016,240228
ISL,CAF_PAS,2016,43420
ITA,CAF_PAS,2016,1045216
LTU,CAF_PAS,2016,44950
LUX,CAF_PAS,2016,47310
LVA,CAF_PAS,2016,62421
MNE,CAF_PAS,2016,19509
MKD,CAF_PAS,2016,14407
MLT,CAF_PAS,2016,35979
NLD,CAF_PAS,2016,523149
NOR,CAF_PAS,2016,432123
POL,CAF_PAS,2016,285141
PRT,CAF_PAS,2016,324691
ROU,CAF_PAS,2016,134828
RS,CAF_PAS,2016,55650
SWE,CAF_PAS,2016,347619
SVN,CAF_PAS,2016,21256
SVK,CAF_PAS,2016,20043
TUR,CAF_PAS,2016,870430
GBR,CAF_PAS,2016,1892806
AUT,CAF_PAS_ARR,2016,135786
BEL,CAF_PAS_ARR,2016,137733
BGR,CAF_PAS_ARR,2016,37653
CHE,CAF_PAS_ARR,2016,227711
CYP,CAF_PAS_ARR,2016,31983
CZE,CAF_PAS_ARR,2016,67305
DEU,CAF_PAS_ARR,2016,943098
DNK,CAF_PAS_ARR,2016,169103
EST,CAF_PAS_ARR,2016,16069
GRC,CAF_PAS_ARR,2016,225260
ESP,CAF_PAS_ARR,2016,831181
FIN,CAF_PAS_ARR,2016,105663
FRA,CAF_PAS_ARR,2016,744900
HRV,CAF_PAS_ARR,2016,40368
HUN,CAF_PAS_ARR,2016,43136
IRL,CAF_PAS_ARR,2016,120865
ISL,CAF_PAS_ARR,2016,21650
ITA,CAF_PAS_ARR,2016,642398
LTU,CAF_PAS_ARR,2016,22497
LUX,CAF_PAS_ARR,2016,22703
LVA,CAF_PAS_ARR,2016,31219
MNE,CAF_PAS_ARR,2016,9803
MKD,CAF_PAS_ARR,2016,7220
MLT,CAF_PAS_ARR,2016,18080
NLD,CAF_PAS_ARR,2016,261616
NOR,CAF_PAS_ARR,2016,316180
POL,CAF_PAS_ARR,2016,155745
PRT,CAF_PAS_ARR,2016,188023
ROU,CAF_PAS_ARR,2016,73598
RS,CAF_PAS_ARR,2016,27880
SWE,CAF_PAS_ARR,2016,220023
SVN,CAF_PAS_ARR,2016,10831
SVK,CAF_PAS_ARR,2016,10402
TUR,CAF_PAS_ARR,2016,610009
GBR,CAF_PAS_ARR,2016,1065460
AUT,CAF_PAS_DEP,2016,135880
BEL,CAF_PAS_DEP,2016,138143
BGR,CAF_PAS_DEP,2016,37699
CHE,CAF_PAS_DEP,2016,227238
CYP,CAF_PAS_DEP,2016,32103
CZE,CAF_PAS_DEP,2016,66976
DEU,CAF_PAS_DEP,2016,941790
DNK,CAF_PAS_DEP,2016,169375
EST,CAF_PAS_DEP,2016,16097
GRC,CAF_PAS_DEP,2016,226846
ESP,CAF_PAS_DEP,2016,831689
FIN,CAF_PAS_DEP,2016,105611
FRA,CAF_PAS_DEP,2016,744469
HRV,CAF_PAS_DEP,2016,40373
HUN,CAF_PAS_DEP,2016,43157
IRL,CAF_PAS_DEP,2016,120821
ISL,CAF_PAS_DEP,2016,21770
ITA,CAF_PAS_DEP,2016,641380
LTU,CAF_PAS_DEP,2016,22464
LUX,CAF_PAS_DEP,2016,24607
LVA,CAF_PAS_DEP,2016,31236
MNE,CAF_PAS_DEP,2016,9712
MKD,CAF_PAS_DEP,2016,7187
MLT,CAF_PAS_DEP,2016,18085
NLD,CAF_PAS_DEP,2016,261762
NOR,CAF_PAS_DEP,2016,316143
POL,CAF_PAS_DEP,2016,155615
PRT,CAF_PAS_DEP,2016,187368
ROU,CAF_PAS_DEP,2016,73550
RS,CAF_PAS_DEP,2016,27770
SWE,CAF_PAS_DEP,2016,220171
SVN,CAF_PAS_DEP,2016,10425
SVK,CAF_PAS_DEP,2016,10543
TUR,CAF_PAS_DEP,2016,611029
GBR,CAF_PAS_DEP,2016,1065691
AUT,CAF_PAS,2015,263773
BEL,CAF_PAS,2015,286652
BGR,CAF_PAS,2015,61240
CHE,CAF_PAS,2015,431712
CYP,CAF_PAS,2015,53636
CZE,CAF_PAS,2015,127497
DEU,CAF_PAS,2015,1606292
DNK,CAF_PAS,2015,296194
EST,CAF_PAS,2015,32030
GRC,CAF_PAS,2015,341992
ESP,CAF_PAS,2015,1261847
FIN,CAF_PAS,2015,174631
