country,measure,year,passengers
BGR,PAS_CRD,2016,9324217
CHE,PAS_CRD,2016,50505492
CYP,PAS_CRD,2016,8961817
CZE,PAS_CRD,2016,13672362
DEU,PAS_CRD,2016,200687293
DNK,PAS_CRD,2016,32763142
EST,PAS_CRD,2016,2214989
GRC,PAS_CRD,2016,45543371
ESP,PAS_CRD,2016,193872037
FIN,PAS_CRD,2016,18099954
FRA,PAS_CRD,2016,145280602
HRV,PAS_CRD,2016,7475463
HUN,PAS_CRD,2016,11660366
IRL,PAS_CRD,2016,32595709
ISL,PAS_CRD,2016,6801814
ITA,PAS_CRD,2016,134477781
LTU,PAS_CRD,2016,4787561
LUX,PAS_CRD,2016,2984242
LVA,PAS_CRD,2016,5384160
MNE,PAS_CRD,2016,1845464
MKD,PAS_CRD,2016,1649374
MLT,PAS_CRD,2016,5080446
NLD,PAS_CRD,2016,70317995
NOR,PAS_CRD,2016,37727546
POL,PAS_CRD,2016,32266861
PRT,PAS_CRD,2016,40930044
ROU,PAS_CRD,2016,15153719
RS,PAS_CRD,2016,4414858
SWE,PAS_CRD,2016,35952558
SVN,PAS_CRD,2016,1404152
SVK,PAS_CRD,2016,2158261
GBR,PAS_CRD,2016,248868873
AUT,PAS_BRD,2015,26981962
BEL,PAS_BRD,2015,31353950
BGR,PAS_BRD,2015,7691274
CHE,PAS_BRD,2015,48092169
CYP,PAS_BRD,2015,7760110
CZE,PAS_BRD,2015,12957296
DEU,PAS_BRD,2015,194741052
DNK,PAS_BRD,2015,30349112
EST,PAS_BRD,2015,2161978
GRC,PAS_BRD,2015,42088397
ESP,PAS_BRD,2015,175031616
FIN,PAS_BRD,2015,17475353
FRA,PAS_BRD,2015,141694718
HRV,PAS_BRD,2015,6608592
HUN,PAS_BRD,2015,10228352
IRL,PAS_BRD,2015,29611133
ISL,PAS_BRD,2015,4855832
ITA,PAS_BRD,2015,128452874
LTU,PAS_BRD,2015,4232492
LUX,PAS_BRD,2015,2651751
LVA,PAS_BRD,2015,5166394
MNE,PAS_BRD,2015,
MKD,PAS_BRD,2015,1452373
MLT,PAS_BRD,2015,4618901
NLD,PAS_BRD,2015,64916147
NOR,PAS_BRD,2015,38106063
POL,PAS_BRD,2015,28974650
PRT,PAS_BRD,2015,35649549
ROU,PAS_BRD,2015,12660039
RS,PAS_BRD,2015,
SWE,PAS_BRD,2015,34177544
SVN,PAS_BRD,2015,1440605
SVK,PAS_BRD,2015,1975055
TUR,PAS_BRD,2015,132969310
GBR,PAS_BRD,2015,232524177
AUT,PAS_CRD,2015,26754007
BEL,PAS_CRD,2015,30958841
BGR,PAS_CRD,2015,7610949
CHE,PAS_CRD,2015,48026375
CYP,PAS_CRD,2015,7590787
CZE,PAS_CRD,2015,12672004
DEU,PAS_CRD,2015,193936430
DNK,PAS_CRD,2015,30095505
EST,PAS_CRD,2015,2160978
GRC,PAS_CRD,2015,42096402
ESP,PAS_CRD,2015,174652503
FIN,PAS_CRD,2015,17479246
FRA,PAS_CRD,2015,140867569
HRV,PAS_CRD,2015,6571698
HUN,PAS_CRD,2015,10228352
IRL,PAS_CRD,2015,29545020
ISL,PAS_CRD,2015,4847288
ITA,PAS_CRD,2015,127665221
LTU,PAS_CRD,2015,4227389
LUX,PAS_CRD,2015,2651751
LVA,PAS_CRD,2015,5145856
MNE,PAS_CRD,2015,
MKD,PAS_CRD,2015,1452373
MLT,PAS_CRD,2015,4619557
NLD,PAS_CRD,2015,64570938
NOR,PAS_CRD,2015,37503052
POL,PAS_CRD,2015,28907439
PRT,PAS_CRD,2015,36005814
ROU,PAS_CRD,2015,12580711
RS,PAS_CRD,2015,
SWE,PAS_CRD,2015,34011263
SVN,PAS_CRD,2015,1436003
SVK,PAS_CRD,2015,1943656
GBR,PAS_CRD,2015,232270437
AUT,PAS_BRD,2014,26566052
BEL,PAS_BRD,2014,29102061
BGR,PAS_BRD,2014,7548609
CHE,PAS_BRD,2014,46211924
CYP,PAS_BRD,2014,7428455
CZE,PAS_BRD,2014,12210556
DEU,PAS_BRD,2014,187344202
DNK,PAS_BRD,2014,29274102
EST,PAS_BRD,2014,2019806
GRC,PAS_BRD,2014,39116331
ESP,PAS_BRD,2014,165710956
FIN,PAS_BRD,2014,17211934
FRA,PAS_BRD,2014,137173327
HRV,PAS_BRD,2014,6157845
HUN,PAS_BRD,2014,9054848
IRL,PAS_BRD,2014,26346808
ISL,PAS_BRD,2014,3867735
ITA,PAS_BRD,2014,119434054
LTU,PAS_BRD,2014,3824888
LUX,PAS_BRD,2014,2433966
LVA,PAS_BRD,2014,4822828
MNE,PAS_BRD,2014,
MKD,PAS_BRD,2014,
MLT,PAS_BRD,2014,4286626
NLD,PAS_BRD,2014,61163636
NOR,PAS_BRD,2014,38072892
POL,PAS_BRD,2014,25743021
PRT,PAS_BRD,2014,32259584
ROU,PAS_BRD,2014,11014976
RS,PAS_BRD,2014,
SWE,PAS_BRD,2014,32955143
SVN,PAS_BRD,2014,1307550
SVK,PAS_BRD,2014,1687772
TUR,PAS_BRD,2014,123684191
GBR,PAS_BRD,2014,220295225
AUT,PAS_CRD,2014,26378676
BEL,PAS_CRD,2014,28776258
BGR,PAS_CRD,2014,7520697
CHE,PAS_CRD,2014,46127426
CYP,PAS_CRD,2014,7328546
CZE,PAS_CRD,2014,12079873
DEU,PAS_CRD,2014,186445814
DNK,PAS_CRD,2014,29015133
EST,PAS_CRD,2014,2019806
GRC,PAS_CRD,2014,39117833
ESP,PAS_CRD,2014,165354382
FIN,PAS_CRD,2014,17171931
FRA,PAS_CRD,2014,136360671
HRV,PAS_CRD,2014,6140797
HUN,PAS_CRD,2014,9054848
IRL,PAS_CRD,2014,26310826
ISL,PAS_CRD,2014,3853614
ITA,PAS_CRD,2014,121164587
LTU,PAS_CRD,2014,3798110
LUX,PAS_CRD,2014,2433966
LVA,PAS_CRD,2014,4802282
MNE,PAS_CRD,2014,
MKD,PAS_CRD,2014,
MLT,PAS_CRD,2014,4290032
NLD,PAS_CRD,2014,60963003
NOR,PAS_CRD,2014,37603195
POL,PAS_CRD,2014,25714422
PRT,PAS_CRD,2014,32560621
ROU,PAS_CRD,2014,10907487
RS,PAS_CRD,2014,
SWE,PAS_CRD,2014,32766043
SVN,PAS_CRD,2014,1307128
SVK,PAS_CRD,2014,1671290
GBR,PAS_CRD,2014,220022122
AUT,PAS_BRD,2013,25827030
BEL,PAS_BRD,2013,26601705
BGR,PAS_BRD,2013,7106539
CHE,PAS_BRD,2013,44338021
CYP,PAS_BRD,2013,7140036
CZE,PAS_BRD,2013,12027537
DEU,PAS_BRD,2013,181879734
DNK,PAS_BRD,2013,27575531
EST,PAS_BRD,2013,1958622
GRC,PAS_BRD,2013,34023337
ESP,PAS_BRD,2013,158072126
FIN,PAS_BRD,2013,16606783
FRA,PAS_BRD,2013,133556899
HRV,PAS_BRD,2013,5747169
HUN,PAS_BRD,2013,8441204
IRL,PAS_BRD,2013,24644846
ISL,PAS_BRD,2013,3207445
ITA,PAS_BRD,2013,116339756
LTU,PAS_BRD,2013,3502392
LUX,PAS_BRD,2013,2169098
LVA,PAS_BRD,2013,4803388
MNE,PAS_BRD,2013,
MKD,PAS_BRD,2013,
MLT,PAS_BRD,2013,4031848
NLD,PAS_BRD,2013,58316239
NOR,PAS_BRD,2013,37229490
POL,PAS_BRD,2013,23298404
PRT,PAS_BRD,2013,29451958
ROU,PAS_BRD,2013,10104810
RS,PAS_BRD,2013,
SWE,PAS_BRD,2013,31654684
SVN,PAS_BRD,2013,1269192
SVK,PAS_BRD,2013,1562404
TUR,PAS_BRD,2013,112215716
GBR,PAS_BRD,2013,210784792
AUT,PAS_CRD,2013,25749724
BEL,PAS_CRD,2013,26389927
BGR,PAS_CRD,2013,7079292
CHE,PAS_CRD,2013,44217568
CYP,PAS_CRD,2013,7011437
CZE,PAS_CRD,2013,11891812
DEU,PAS_CRD,2013,180783188
DNK,PAS_CRD,2013,27459623
EST,PAS_CRD,2013,1958565
GRC,PAS_CRD,2013,34023934
ESP,PAS_CRD,2013,157731973
FIN,PAS_CRD,2013,16565391
FRA,PAS_CRD,2013,132762875
HRV,PAS_CRD,2013,5722447
HUN,PAS_CRD,2013,8441319
IRL,PAS_CRD,2013,24603640
ISL,PAS_CRD,2013,3199266
ITA,PAS_CRD,2013,115279105
LTU,PAS_CRD,2013,3482358
LUX,PAS_CRD,2013,2169327
LVA,PAS_CRD,2013,4782257
MNE,PAS_CRD,2013,
MKD,PAS_CRD,2013,
MLT,PAS_CRD,2013,4032029
NLD,PAS_CRD,2013,58077271
NOR,PAS_CRD,2013,36686364
POL,PAS_CRD,2013,23274484
PRT,PAS_CRD,2013,29694146
ROU,PAS_CRD,2013,10016933
RS,PAS_CRD,2013,
SWE,PAS_CRD,2013,31443225
