country,coverage,year,quarter,flights
SVN,"NAT",2020,Q4,0
SVK,"NAT",2020,Q4,53
TUR,"NAT",2020,Q4,47297
GBR,"NAT",2020,Q4,
AUT,TOTAL,2020,Q4,14394
BEL,TOTAL,2020,Q4,16933
BGR,TOTAL,2020,Q4,5836
CHE,TOTAL,2020,Q4,23097
CYP,TOTAL,2020,Q4,4698
CZE,TOTAL,2020,Q4,5225
DEU,TOTAL,2020,Q4,100536
DNK,TOTAL,2020,Q4,18703
EST,TOTAL,2020,Q4,2630
GRC,TOTAL,2020,Q4,35817
ESP,TOTAL,2020,Q4,101597
FIN,TOTAL,2020,Q4,9268
FRA,TOTAL,2020,Q4,88206
HRV,TOTAL,2020,Q4,4287
HUN,TOTAL,2020,Q4,3042
IRL,TOTAL,2020,Q4,11252
ISL,TOTAL,2020,Q4,2239
ITA,TOTAL,2020,Q4,75177
LTU,TOTAL,2020,Q4,3200
LUX,TOTAL,2020,Q4,4124
LVA,TOTAL,2020,Q4,3930
MNE,TOTAL,2020,Q4,1401
MKD,TOTAL,2020,Q4,1560
MLT,TOTAL,2020,Q4,3345
NLD,TOTAL,2020,Q4,46829
NOR,TOTAL,2020,Q4,49286
POL,TOTAL,2020,Q4,26282
PRT,TOTAL,2020,Q4,35404
ROU,TOTAL,2020,Q4,11445
RS,TOTAL,2020,Q4,4561
SWE,TOTAL,2020,Q4,21142
SVN,TOTAL,2020,Q4,413
SVK,TOTAL,2020,Q4,2522
TUR,TOTAL,2020,Q4,102659
GBR,TOTAL,2020,Q4,
AUT,INTL,2020,Q3,26856
BEL,INTL,2020,Q3,26475
BGR,INTL,2020,Q3,11600
CHE,INTL,2020,Q3,39619
CYP,INTL,2020,Q3,8775
CZE,INTL,2020,Q3,11221
DEU,INTL,2020,Q3,141190
DNK,INTL,2020,Q3,21284
EST,INTL,2020,Q3,2850
GRC,INTL,2020,Q3,71939
ESP,INTL,2020,Q3,120929
FIN,INTL,2020,Q3,9099
FRA,INTL,2020,Q3,92898
HRV,INTL,2020,Q3,13157
HUN,INTL,2020,Q3,9232
IRL,INTL,2020,Q3,21488
ISL,INTL,2020,Q3,2885
ITA,INTL,2020,Q3,98815
LTU,INTL,2020,Q3,6435
LUX,INTL,2020,Q3,6363
LVA,INTL,2020,Q3,6570
MNE,INTL,2020,Q3,2460
MKD,INTL,2020,Q3,2159
MLT,INTL,2020,Q3,6503
NLD,INTL,2020,Q3,64435
NOR,INTL,2020,Q3,14631
POL,INTL,2020,Q3,41493
PRT,INTL,2020,Q3,41404
ROU,INTL,2020,Q3,17318
RS,INTL,2020,Q3,8262
SWE,INTL,2020,Q3,14565
SVN,INTL,2020,Q3,1015
SVK,INTL,2020,Q3,5147
TUR,INTL,2020,Q3,64834
GBR,INTL,2020,Q3,138344
AUT,"NAT",2020,Q3,775
BEL,"NAT",2020,Q3,1728
BGR,"NAT",2020,Q3,702
CHE,"NAT",2020,Q3,399
CYP,"NAT",2020,Q3,0
CZE,"NAT",2020,Q3,181
DEU,"NAT",2020,Q3,19898
DNK,"NAT",2020,Q3,6153
EST,"NAT",2020,Q3,708
GRC,"NAT",2020,Q3,25902
ESP,"NAT",2020,Q3,65060
FIN,"NAT",2020,Q3,2807
FRA,"NAT",2020,Q3,51968
HRV,"NAT",2020,Q3,1958
HUN,"NAT",2020,Q3,7
IRL,"NAT",2020,Q3,740
ISL,"NAT",2020,Q3,2204
ITA,"NAT",2020,Q3,47870
LTU,"NAT",2020,Q3,7
LUX,"NAT",2020,Q3,1
LVA,"NAT",2020,Q3,69
MNE,"NAT",2020,Q3,0
MKD,"NAT",2020,Q3,0
MLT,"NAT",2020,Q3,0
NLD,"NAT",2020,Q3,64
NOR,"NAT",2020,Q3,40593
POL,"NAT",2020,Q3,4247
PRT,"NAT",2020,Q3,10854
ROU,"NAT",2020,Q3,1587
RS,"NAT",2020,Q3,7
SWE,"NAT",2020,Q3,7016
SVN,"NAT",2020,Q3,0
SVK,"NAT",2020,Q3,46
TUR,"NAT",2020,Q3,57966
GBR,"NAT",2020,Q3,29883
AUT,TOTAL,2020,Q3,27631
BEL,TOTAL,2020,Q3,28203
BGR,TOTAL,2020,Q3,12302
CHE,TOTAL,2020,Q3,40018
CYP,TOTAL,2020,Q3,8775
CZE,TOTAL,2020,Q3,11402
DEU,TOTAL,2020,Q3,161088
DNK,TOTAL,2020,Q3,27437
EST,TOTAL,2020,Q3,3558
GRC,TOTAL,2020,Q3,97841
ESP,TOTAL,2020,Q3,185989
FIN,TOTAL,2020,Q3,11906
FRA,TOTAL,2020,Q3,144866
HRV,TOTAL,2020,Q3,15115
HUN,TOTAL,2020,Q3,9239
IRL,TOTAL,2020,Q3,22228
ISL,TOTAL,2020,Q3,5089
ITA,TOTAL,2020,Q3,146685
LTU,TOTAL,2020,Q3,6442
LUX,TOTAL,2020,Q3,6364
LVA,TOTAL,2020,Q3,6639
MNE,TOTAL,2020,Q3,2460
MKD,TOTAL,2020,Q3,2159
MLT,TOTAL,2020,Q3,6503
NLD,TOTAL,2020,Q3,64499
NOR,TOTAL,2020,Q3,55224
POL,TOTAL,2020,Q3,45740
PRT,TOTAL,2020,Q3,52258
ROU,TOTAL,2020,Q3,18905
RS,TOTAL,2020,Q3,8269
SWE,TOTAL,2020,Q3,21581
SVN,TOTAL,2020,Q3,1015
SVK,TOTAL,2020,Q3,5193
TUR,TOTAL,2020,Q3,122800
GBR,TOTAL,2020,Q3,168227
AUT,INTL,2020,Q2,2699
BEL,INTL,2020,Q2,6035
BGR,INTL,2020,Q2,2753
CHE,INTL,2020,Q2,4890
CYP,INTL,2020,Q2,969
CZE,INTL,2020,Q2,1506
DEU,INTL,2020,Q2,24112
DNK,INTL,2020,Q2,3480
EST,INTL,2020,Q2,805
GRC,INTL,2020,Q2,3791
ESP,INTL,2020,Q2,6802
FIN,INTL,2020,Q2,3286
FRA,INTL,2020,Q2,10110
HRV,INTL,2020,Q2,950
