country,coverage,year,flights
AUT,TOTAL,2013,265660
BEL,TOTAL,2013,265379
BGR,TOTAL,2013,56859
CHE,TOTAL,2013,419334
CYP,TOTAL,2013,49895
CZE,TOTAL,2013,129454
DEU,TOTAL,2013,1654117
DNK,TOTAL,2013,290666
EST,TOTAL,2013,28584
GRC,TOTAL,2013,285640
ESP,TOTAL,2013,1187856
FIN,TOTAL,2013,178599
FRA,TOTAL,2013,1194266
HRV,TOTAL,2013,59569
HUN,TOTAL,2013,71756
IRL,TOTAL,2013,197043
ISL,TOTAL,2013,22618
ITA,TOTAL,2013,971156
LTU,TOTAL,2013,35081
LUX,TOTAL,2013,40919
LVA,TOTAL,2013,62215
MNE,TOTAL,2013,
MKD,TOTAL,2013,
MLT,TOTAL,2013,30966
NLD,TOTAL,2013,465867
NOR,TOTAL,2013,440386
POL,TOTAL,2013,243133
PRT,TOTAL,2013,250981
ROU,TOTAL,2013,105575
RS,TOTAL,2013,
SWE,TOTAL,2013,331920
SVN,TOTAL,2013,21083
SVK,TOTAL,2013,15278
